# x_position concentration_percent
0.286551 201.005263
0.287382 202.369515
0.288214 203.726062
0.289045 205.071948
0.289877 206.403749
0.290708 207.717616
0.291539 209.009302
0.292371 210.274214
0.293202 211.507456
0.294034 212.703877
0.294865 213.858124
0.295696 214.964698
0.296528 216.018006
0.297359 217.012413
0.298191 217.942305
0.299022 218.802130
0.299853 219.586459
0.300685 220.290029
0.301516 220.907789
0.302348 221.434940
0.303179 221.866974
0.304010 222.199706
0.304842 222.429300
0.305673 222.552294
0.306505 222.565614
0.307336 222.466589
0.308168 222.252956
0.308999 221.922862
0.309830 221.474860
0.310662 220.907904
0.311493 220.221333
0.312325 219.414858
0.313156 218.488542
0.313987 217.442779
0.314819 216.278269
0.315650 214.995991
0.316482 213.597181
0.317313 212.083300
0.318144 210.456008
0.318976 208.717143
0.319807 206.868689
0.320639 204.912758
0.321470 202.851567
0.322301 200.687422
0.323133 198.422701
0.323964 196.059844
0.324796 193.601341
0.325627 191.049732
0.326458 188.407600
0.327290 185.677577
0.328121 182.862343
0.328953 179.964638
0.329784 176.987270
0.330616 173.933126
0.331447 170.805185
0.332278 167.606533
0.333110 164.340375
0.333941 161.010055
0.334773 157.619061
0.335604 154.171047
0.336435 150.669836
0.337267 147.119431
0.338098 143.524021
0.338930 139.887983
0.339761 136.215876
0.340592 132.512443
0.341424 128.782594
0.342255 125.031399
0.343087 121.264064
0.343918 117.485911
0.344749 113.702354
0.345581 109.918868
0.346412 106.140954
0.347244 102.374108
0.348075 98.623776
0.348907 94.895324
0.349738 91.193988
0.350569 87.524840
0.351401 83.892742
0.352232 80.302311
0.353064 76.757881
0.353895 73.263462
0.354726 69.822716
0.355558 66.438923
0.356389 63.114961
0.357221 59.853284
0.358052 56.655908
0.358883 53.524403
0.359715 50.459890
0.360546 47.463044
0.361378 44.534102
0.362209 41.672875
0.363040 38.878767
0.363872 36.150803
0.364703 33.487652
0.365535 30.887662
0.366366 28.348895
0.367198 25.869164
0.368029 23.446076
0.368860 21.077073
0.369692 18.759473
0.370523 16.490510
0.371355 14.267381
0.372186 12.087281
0.373017 9.947442
0.373849 7.845167
0.374680 5.777862
0.375512 3.743064
0.376343 1.738464
0.377174 -0.238076
0.378006 -2.188503
0.378837 -4.114566
0.379669 -6.017811
0.380500 -7.899577
0.381331 -9.760999
0.382163 -11.603016
0.382994 -13.426379
0.383826 -15.231664
0.384657 -17.019288
0.385488 -18.789524
0.386320 -20.542523
0.387151 -22.278331
0.387983 -23.996909
0.388814 -25.698155
0.389646 -27.381920
0.390477 -29.048027
0.391308 -30.696292
0.392140 -32.326529
0.392971 -33.938574
0.393803 -35.532288
0.394634 -37.107565
0.395465 -38.664341
0.396297 -40.202597
0.397128 -41.722354
0.397960 -43.223678
0.398791 -44.706671
0.399622 -46.171467
0.400454 -47.618227
0.401285 -49.047126
0.402117 -50.458346
0.402948 -51.852066
0.403779 -53.228448
0.404611 -54.587633
0.405442 -55.929725
0.406274 -57.254782
0.407105 -58.562814
0.407937 -59.853768
0.408768 -61.127527
0.409599 -62.383904
0.410431 -63.622641
0.411262 -64.843408
0.412094 -66.045802
0.412925 -67.229355
0.413756 -68.393532
0.414588 -69.537742
0.415419 -70.661346
0.416251 -71.763662
0.417082 -72.843978
0.417913 -73.901562
0.418745 -74.935672
0.419576 -75.945571
0.420408 -76.930536
0.421239 -77.889872
0.422070 -78.822920
0.422902 -79.729072
0.423733 -80.607780
0.424565 -81.458563
0.425396 -82.281019
0.426228 -83.074828
0.427059 -83.839760
0.427890 -84.575683
0.428722 -85.282558
0.429553 -85.960449
0.430385 -86.609516
0.431216 -87.230022
0.432047 -87.822323
0.432879 -88.386871
0.433710 -88.924204
0.434542 -89.434945
0.435373 -89.919793
0.436204 -90.379518
0.437036 -90.814951
0.437867 -91.226977
0.438699 -91.616525
0.439530 -91.984562
0.440361 -92.332081
0.441193 -92.660096
0.442024 -92.969627
0.442856 -93.261699
0.443687 -93.537326
0.444518 -93.797510
0.445350 -94.043230
0.446181 -94.275436
0.447013 -94.495041
0.447844 -94.702921
0.448676 -94.899902
0.449507 -95.086764
0.450338 -95.264232
0.451170 -95.432976
0.452001 -95.593610
0.452833 -95.746689
0.453664 -95.892707
0.454495 -96.032104
0.455327 -96.165261
0.456158 -96.292503
0.456990 -96.414104
0.457821 -96.530287
0.458652 -96.641231
0.459484 -96.747071
0.460315 -96.847907
0.461147 -96.943803
0.461978 -97.034798
0.462809 -97.120910
0.463641 -97.202136
0.464472 -97.278466
0.465304 -97.349881
0.466135 -97.416364
0.466967 -97.477900
0.467798 -97.534487
0.468629 -97.586134
0.469461 -97.632869
0.470292 -97.674742
0.471124 -97.711828
0.471955 -97.744231
0.472786 -97.772083
0.473618 -97.795547
0.474449 -97.814820
0.475281 -97.830129
0.476112 -97.841732
0.476943 -97.849920
0.477775 -97.855011
0.478606 -97.857348
0.479438 -97.857299
0.480269 -97.855251
0.481100 -97.851608
0.481932 -97.846785
0.482763 -97.841204
0.483595 -97.835292
0.484426 -97.829471
0.485258 -97.824159
0.486089 -97.819761
0.486920 -97.816664
0.487752 -97.815237
0.488583 -97.815822
0.489415 -97.818731
0.490246 -97.824245
0.491077 -97.832608
0.491909 -97.844025
0.492740 -97.858660
0.493572 -97.876634
0.494403 -97.898026
0.495234 -97.922870
0.496066 -97.951153
0.496897 -97.982821
0.497729 -98.017777
0.498560 -98.055881
0.499391 -98.096954
0.500223 -98.140781
0.501054 -98.187108
0.501886 -98.235654
0.502717 -98.286106
0.503548 -98.338125
0.504380 -98.391352
0.505211 -98.445405
0.506043 -98.499888
0.506874 -98.554393
0.507706 -98.608501
0.508537 -98.661785
0.509368 -98.713816
0.510200 -98.764162
0.511031 -98.812393
0.511863 -98.858079
0.512694 -98.900797
0.513525 -98.940129
0.514357 -98.975665
0.515188 -99.007002
0.516020 -99.033748
0.516851 -99.055520
0.517682 -99.071946
0.518514 -99.082666
0.519345 -99.087332
